Regulator	Target	Relation	Relation counts
Protein	Protein	FunctionalAssociation	11
Protein	SmallMol	FunctionalAssociation	0
Protein	Complex	FunctionalAssociation	0
Protein	FunctionalClass	FunctionalAssociation	0
Protein	CellObject	FunctionalAssociation	0
Protein	Disease	FunctionalAssociation	0
Protein	Organ	FunctionalAssociation	0
Protein	Virus	FunctionalAssociation	9
Protein	ClinicalParameter	FunctionalAssociation	0
Protein	CellProcess	FunctionalAssociation	0
Protein	Organism	FunctionalAssociation	0
Protein	Tissue	FunctionalAssociation	0
Protein	Treatment	FunctionalAssociation	0
Protein	CellType	FunctionalAssociation	0
Protein	GeneticVariant	FunctionalAssociation	0
Protein	MedicalProcedure	FunctionalAssociation	0
Protein	PhosphoSite	FunctionalAssociation	0
Protein	Hyperlink	FunctionalAssociation	0
Protein	Mutation	FunctionalAssociation	0
Protein	RNA	FunctionalAssociation	0
Protein	Site	FunctionalAssociation	0
Protein	Lysine	FunctionalAssociation	0
Protein	MethSite	FunctionalAssociation	0
SmallMol	SmallMol	FunctionalAssociation	0
SmallMol	Complex	FunctionalAssociation	0
SmallMol	FunctionalClass	FunctionalAssociation	0
SmallMol	CellObject	FunctionalAssociation	0
SmallMol	Disease	FunctionalAssociation	0
SmallMol	Organ	FunctionalAssociation	0
SmallMol	Virus	FunctionalAssociation	0
SmallMol	ClinicalParameter	FunctionalAssociation	0
SmallMol	CellProcess	FunctionalAssociation	0
SmallMol	Organism	FunctionalAssociation	0
SmallMol	Tissue	FunctionalAssociation	0
SmallMol	Treatment	FunctionalAssociation	0
SmallMol	CellType	FunctionalAssociation	0
SmallMol	GeneticVariant	FunctionalAssociation	0
SmallMol	MedicalProcedure	FunctionalAssociation	0
SmallMol	PhosphoSite	FunctionalAssociation	0
SmallMol	Hyperlink	FunctionalAssociation	0
SmallMol	Mutation	FunctionalAssociation	0
SmallMol	RNA	FunctionalAssociation	0
SmallMol	Site	FunctionalAssociation	0
SmallMol	Lysine	FunctionalAssociation	0
SmallMol	MethSite	FunctionalAssociation	0
Complex	Complex	FunctionalAssociation	1
Complex	FunctionalClass	FunctionalAssociation	0
Complex	CellObject	FunctionalAssociation	0
Complex	Disease	FunctionalAssociation	0
Complex	Organ	FunctionalAssociation	0
Complex	Virus	FunctionalAssociation	1
Complex	ClinicalParameter	FunctionalAssociation	0
Complex	CellProcess	FunctionalAssociation	0
Complex	Organism	FunctionalAssociation	0
Complex	Tissue	FunctionalAssociation	0
Complex	Treatment	FunctionalAssociation	0
Complex	CellType	FunctionalAssociation	0
Complex	GeneticVariant	FunctionalAssociation	0
Complex	MedicalProcedure	FunctionalAssociation	0
Complex	PhosphoSite	FunctionalAssociation	0
Complex	Hyperlink	FunctionalAssociation	0
Complex	Mutation	FunctionalAssociation	0
Complex	RNA	FunctionalAssociation	0
Complex	Site	FunctionalAssociation	0
Complex	Lysine	FunctionalAssociation	0
Complex	MethSite	FunctionalAssociation	0
FunctionalClass	FunctionalClass	FunctionalAssociation	2
FunctionalClass	CellObject	FunctionalAssociation	0
FunctionalClass	Disease	FunctionalAssociation	1
FunctionalClass	Organ	FunctionalAssociation	0
FunctionalClass	Virus	FunctionalAssociation	1
FunctionalClass	ClinicalParameter	FunctionalAssociation	0
FunctionalClass	CellProcess	FunctionalAssociation	0
FunctionalClass	Organism	FunctionalAssociation	0
FunctionalClass	Tissue	FunctionalAssociation	0
FunctionalClass	Treatment	FunctionalAssociation	0
FunctionalClass	CellType	FunctionalAssociation	0
FunctionalClass	GeneticVariant	FunctionalAssociation	0
FunctionalClass	MedicalProcedure	FunctionalAssociation	0
FunctionalClass	PhosphoSite	FunctionalAssociation	0
FunctionalClass	Hyperlink	FunctionalAssociation	0
FunctionalClass	Mutation	FunctionalAssociation	0
FunctionalClass	RNA	FunctionalAssociation	0
FunctionalClass	Site	FunctionalAssociation	0
FunctionalClass	Lysine	FunctionalAssociation	0
FunctionalClass	MethSite	FunctionalAssociation	0
CellObject	CellObject	FunctionalAssociation	0
CellObject	Disease	FunctionalAssociation	0
CellObject	Organ	FunctionalAssociation	0
CellObject	Virus	FunctionalAssociation	0
CellObject	ClinicalParameter	FunctionalAssociation	0
CellObject	CellProcess	FunctionalAssociation	0
CellObject	Organism	FunctionalAssociation	0
CellObject	Tissue	FunctionalAssociation	0
CellObject	Treatment	FunctionalAssociation	0
CellObject	CellType	FunctionalAssociation	0
CellObject	GeneticVariant	FunctionalAssociation	0
CellObject	MedicalProcedure	FunctionalAssociation	0
CellObject	PhosphoSite	FunctionalAssociation	0
CellObject	Hyperlink	FunctionalAssociation	0
CellObject	Mutation	FunctionalAssociation	0
CellObject	RNA	FunctionalAssociation	0
CellObject	Site	FunctionalAssociation	0
CellObject	Lysine	FunctionalAssociation	0
CellObject	MethSite	FunctionalAssociation	0
Disease	Disease	FunctionalAssociation	1405742
Disease	Organ	FunctionalAssociation	434398
Disease	Virus	FunctionalAssociation	379
Disease	ClinicalParameter	FunctionalAssociation	434
Disease	CellProcess	FunctionalAssociation	183008
Disease	Organism	FunctionalAssociation	0
Disease	Tissue	FunctionalAssociation	69927
Disease	Treatment	FunctionalAssociation	0
Disease	CellType	FunctionalAssociation	27
Disease	GeneticVariant	FunctionalAssociation	222696
Disease	MedicalProcedure	FunctionalAssociation	0
Disease	PhosphoSite	FunctionalAssociation	0
Disease	Hyperlink	FunctionalAssociation	0
Disease	Mutation	FunctionalAssociation	533
Disease	RNA	FunctionalAssociation	0
Disease	Site	FunctionalAssociation	621
Disease	Lysine	FunctionalAssociation	0
Disease	MethSite	FunctionalAssociation	0
Organ	Organ	FunctionalAssociation	700645
Organ	Virus	FunctionalAssociation	723
Organ	ClinicalParameter	FunctionalAssociation	115338
Organ	CellProcess	FunctionalAssociation	132067
Organ	Organism	FunctionalAssociation	0
Organ	Tissue	FunctionalAssociation	4812
Organ	Treatment	FunctionalAssociation	0
Organ	CellType	FunctionalAssociation	0
Organ	GeneticVariant	FunctionalAssociation	2
Organ	MedicalProcedure	FunctionalAssociation	0
