Regulator:Name	Regulator:Reaxys ID	Regulator:Class	Regulator:CAS ID	Regulator:InChIKey	Top list entity	Name	Sentence	PubYear	Title	PMID	DOI	Top list concept	Regulators Id	Targets Id	Target:Name	Target:Reaxys ID	Target:Class	Target:CAS ID	Target:InChIKey
parathion	2059093		8057-70-3;56-38-2;110616-89-2;11111-91-4	LCCNCVORNKJIRZ-UHFFFAOYSA-N	organophosphorus pesticide	positive Expression: parathion --+> IL13	ID{1211077=Dexamethasone} and both doses of ID{1246189=methoxychlor} and ID{1177788=parathion} significantly increased ID{3596=IL-13} levels ( d). CONTEXT{8000123,10000184}	2012	Role of regulatory T cells in the induction of atopic dermatitis by immunosuppressive chemicals	22842586	10.1016/j.toxlet.2012.07.018	anti-inflammatory cytokine	72057594037958913	72057594037934315	IL13		Ligand		
parathion	2059093		8057-70-3;56-38-2;110616-89-2;11111-91-4	LCCNCVORNKJIRZ-UHFFFAOYSA-N	organophosphorus pesticide	positive Expression: parathion --+> IL13	The Th2 ID{0,3565,3567,3569,3586,3596=(IL-4, -5, -6, -13), Th9 (IL-10)} and Th17 ID{0,3605,12105125=(IL-17A) cytokine} production induced by the high doses of ID{1246189=methoxychlor} and ID{1177788=parathion} was significantly higher than in the control groups. CONTEXT{10000186}	2013	Prior oral exposure to environmental immunosuppressive chemicals Methoxychlor, Parathion, or Piperonyl Butoxide aggravates allergic airway inflammation in NC/Nga mice	23583882	10.1016/j.tox.2013.03.018	anti-inflammatory cytokine	72057594037958913	72057594037934315	IL13		Ligand		
parathion	2059093		8057-70-3;56-38-2;110616-89-2;11111-91-4	LCCNCVORNKJIRZ-UHFFFAOYSA-N	organophosphorus pesticide	positive Expression: parathion --+> IL4	The Th2 ID{0,3565,3567,3569,3586,3596=(IL-4, -5, -6, -13), Th9 (IL-10)} and Th17 ID{0,3605,12105125=(IL-17A) cytokine} production induced by the high doses of ID{1246189=methoxychlor} and ID{1177788=parathion} was significantly higher than in the control groups. CONTEXT{10000186}	2013	Prior oral exposure to environmental immunosuppressive chemicals Methoxychlor, Parathion, or Piperonyl Butoxide aggravates allergic airway inflammation in NC/Nga mice	23583882	10.1016/j.tox.2013.03.018	anti-inflammatory cytokine	72057594037958913	72057594037934262	IL4		Ligand		
parathion	2059093		8057-70-3;56-38-2;110616-89-2;11111-91-4	LCCNCVORNKJIRZ-UHFFFAOYSA-N	organophosphorus pesticide	positive Expression: parathion --+> IL10	The Th2 ID{0,3565,3567,3569,3586,3596=(IL-4, -5, -6, -13), Th9 (IL-10)} and Th17 ID{0,3605,12105125=(IL-17A) cytokine} production induced by the high doses of ID{1246189=methoxychlor} and ID{1177788=parathion} was significantly higher than in the control groups. CONTEXT{10000186}	2013	Prior oral exposure to environmental immunosuppressive chemicals Methoxychlor, Parathion, or Piperonyl Butoxide aggravates allergic airway inflammation in NC/Nga mice	23583882	10.1016/j.tox.2013.03.018	anti-inflammatory cytokine	72057594037958913	72057594037934294	IL10		Ligand		
parathion	2059093		8057-70-3;56-38-2;110616-89-2;11111-91-4	LCCNCVORNKJIRZ-UHFFFAOYSA-N	organophosphorus pesticide	positive Expression: parathion --+> TGFB1	ID{1177788=Parathion}, ID{1028212=chlorpyrifos} and ID{1213601=diazinon} increase the mRNA expression of ...	2017	Pulmonary innate inflammatory responses to agricultural occupational contaminants	28168324	10.1007/s00441-017-2573-4	anti-inflammatory cytokine	72057594037958913	72057594037939347	TGFB1		Ligand		
parathion	2059093		8057-70-3;56-38-2;110616-89-2;11111-91-4	LCCNCVORNKJIRZ-UHFFFAOYSA-N	organophosphorus pesticide	negative Regulation: parathion ---| lipid peroxidation	ID{1177788=Parathion} by itself evoked a significant decrease in ID{4000000,4150941,8801043=lipid peroxidation in the gastrocnemius muscle}, consistent with an impairment of fat utilization and a consequent reduction in oxidative capacity; again, this effect was eliminated by increasing the amount of fat in the diet, consistent with overcoming the underlying metabolic deficiency.  CONTEXT{6802380,8022218,8803086,8803113,8803116}	2010	Neonatal exposure to parathion alters lipid metabolism in adulthood: Interactions with dietary fat intake and implications for neurodevelopmental deficits	19615431	10.1016/j.brainresbull.2009.07.002	lipid peroxidation	72057594037958913	72057594038118608	lipid peroxidation				
parathion	2059093		8057-70-3;56-38-2;110616-89-2;11111-91-4	LCCNCVORNKJIRZ-UHFFFAOYSA-N	organophosphorus pesticide	positive Regulation: parathion --+> hepatotoxicity	The simultaneous presence of ID{1159311=cadmium} and ID{1177788=parathion} produced an ID{9000000,9017667=hepatotoxic effect} in the ID{7000383=rat}.	1998	Effect of cadmium and parathion on renal function in rat.	9836245	10.1080/15287390500180549	hepatotoxicity	72057594037958913	72057594038169504	hepatotoxicity				
parathion	2059093		8057-70-3;56-38-2;110616-89-2;11111-91-4	LCCNCVORNKJIRZ-UHFFFAOYSA-N	organophosphorus pesticide	positive Regulation: parathion --+> hepatotoxicity	Role of metabolism in ID{1177788=parathion}-induced ID{9000000,9005589,9017667=hepatotoxicity and immunotoxicity}.	2005	Role of metabolism in parathion-induced hepatotoxicity and immunotoxicity.	16326433	10.1080/15287390500180549	hepatotoxicity	72057594037958913	72057594038169504	hepatotoxicity				
parathion	2059093		8057-70-3;56-38-2;110616-89-2;11111-91-4	LCCNCVORNKJIRZ-UHFFFAOYSA-N	organophosphorus pesticide	positive Regulation: parathion --+> hepatotoxicity	These results indicate that ID{1177788=parathion}-induced ID{9000000,9017667=hepatotoxicity} might be differentiated from ID{9000000,9005589=immunotoxicity} in mice. CONTEXT{8803116}	2005	Role of metabolism in parathion-induced hepatotoxicity and immunotoxicity.	16326433		hepatotoxicity	72057594037958913	72057594038169504	hepatotoxicity				
parathion	2059093		8057-70-3;56-38-2;110616-89-2;11111-91-4	LCCNCVORNKJIRZ-UHFFFAOYSA-N	organophosphorus pesticide	positive Regulation: parathion --+> teratozoospermia	Ultrastructure of ID{7000389=mouse} ID{9000000,9607029=teratozoospermia} induced by ID{1177788=parathion}.	1999	Ultrastructure of mouse teratozoospermia induced by parathion.	11225910		male infertility	72057594037958913	72057594038063931	teratozoospermia				
diazinon	273790		30583-38-1;27936-40-9;333-41-5;65863-03-8	FHIVAFMUCKRCQO-UHFFFAOYSA-N	organophosphorus pesticide	positive Expression: diazinon --+> TGFB1	... and ID{1213601=diazinon} increase the mRNA expression of ID{0,3553,7040,7124,12105161=tumor necrosis factor-a, interleukin-1ß, platelet derived growth factor and transforming growth factor-ß} ...	2017	Pulmonary innate inflammatory responses to agricultural occupational contaminants	28168324	10.1007/s00441-017-2573-4	anti-inflammatory cytokine	72057594037977102	72057594037939347	TGFB1		Ligand		
diazinon	273790		30583-38-1;27936-40-9;333-41-5;65863-03-8	FHIVAFMUCKRCQO-UHFFFAOYSA-N	organophosphorus pesticide	positive Expression: diazinon --+> TGFB1	In addition, ID{1213601=diazinon} induced the expression of ID{0,3553,7040=IL-1ß and TGF-ß1} genes in control and fish fed 0.5 and 4  g Ginkgo biloba/kg diet (p¿<¿0.05). CONTEXT{8803113}	2019	Immunostimulating effects of Ginkgo biloba extract against toxicity induced by organophosphate pesticide, diazinon in rainbow trout, Oncorhynchus mykiss: innate immunity components and immune-related genes.	30712205	10.1007/s11356-019-04327-710.1007/s11356-019-04327-7	anti-inflammatory cytokine	72057594037977102	72057594037939347	TGFB1		Ligand		
diazinon	273790		30583-38-1;27936-40-9;333-41-5;65863-03-8	FHIVAFMUCKRCQO-UHFFFAOYSA-N	organophosphorus pesticide	positive Regulation: diazinon --+> IL10	ID{1213601=diazinon} was found to decrease ID{10000000,10000079,10000152=red blood cells, white blood cells}, ID{12001126=hemoglobin}, ID{15000168=hematocrit}, ID{10000000,10000134=platelets}, butyrl- and ID{12812378=acetyl-cholinesterase} activity and I FN-¿ and increased the micronucleus indices of ID{0,3565,3586=IL10 and IL4} as compared with the control group. CONTEXT{10000079,10000134,10000152}	2017	Protective effect of thymoquinone against diazinon-induced hematotoxicity, genotoxicity and immunotoxicity in rats.	28938193	10.1016/j.etap.2017.09.00210.1016/j.etap.2017.09.002	anti-inflammatory cytokine	72057594037977102	72057594037934294	IL10		Ligand		
diazinon	273790		30583-38-1;27936-40-9;333-41-5;65863-03-8	FHIVAFMUCKRCQO-UHFFFAOYSA-N	organophosphorus pesticide	positive Regulation: diazinon --+> IL4	ID{1213601=diazinon} was found to decrease ID{10000000,10000079,10000152=red blood cells, white blood cells}, ID{12001126=hemoglobin}, ID{15000168=hematocrit}, ID{10000000,10000134=platelets}, butyrl- and ID{12812378=acetyl-cholinesterase} activity and I FN-¿ and increased the micronucleus indices of ID{0,3565,3586=IL10 and IL4} as compared with the control group. CONTEXT{10000079,10000134,10000152}	2017	Protective effect of thymoquinone against diazinon-induced hematotoxicity, genotoxicity and immunotoxicity in rats.	28938193	10.1016/j.etap.2017.09.00210.1016/j.etap.2017.09.002	anti-inflammatory cytokine	72057594037977102	72057594037934262	IL4		Ligand		
diazinon	273790		30583-38-1;27936-40-9;333-41-5;65863-03-8	FHIVAFMUCKRCQO-UHFFFAOYSA-N	organophosphorus pesticide	positive Regulation: diazinon --+> genotoxicity	Methods: The possible protective effect of ID{1208300=vitamin E} against ID{1213601=Diazinon}-induced adverse effects on haematological and biochemical indices and on ID{9000000,9000120=genotoxicity} using comet assay and micronucleus test for measuring the ID{4000000,4000888=DNA damage} was studied.	2011	Potential protective effects of vitamin E on diazinon-induced DNA damage and some haematological and biochemical alterations in rats	21036580	10.1016/j.toxlet.2011.05.786	genotoxicity	72057594037977102	72057594038164802	genotoxicity				
diazinon	273790		30583-38-1;27936-40-9;333-41-5;65863-03-8	FHIVAFMUCKRCQO-UHFFFAOYSA-N	organophosphorus pesticide	positive Regulation: diazinon --+> genotoxicity	It seems that antioxidant effect of these agents could not prevent the ID{1213601=diazinon}-induced ID{9000000,9000120=genotoxicity}.	2011	The effect of crocin and safranal, constituents of saffron, against subacute effect of diazinon on hematological and genotoxicity indices in rats	21036580	10.1016/j.phymed.2010.10.001	genotoxicity	72057594037977102	72057594038164802	genotoxicity				
diazinon	273790		30583-38-1;27936-40-9;333-41-5;65863-03-8	FHIVAFMUCKRCQO-UHFFFAOYSA-N	organophosphorus pesticide	positive Regulation: diazinon --+> genotoxicity	Our study showed that ID{1213601=diazinon} changes some haematological parameters and induces ID{9000000,9000120=genotoxicity} in ID{7000383=rats} even if it is administrated less than the LD50 dose level. CONTEXT{7000390,10112236}	2011	The effect of crocin and safranal, constituents of saffron, against subacute effect of diazinon on hematological and genotoxicity indices in rats	11113701	10.1016/j.phymed.2010.10.001	genotoxicity	72057594037977102	72057594038164802	genotoxicity				
diazinon	273790		30583-38-1;27936-40-9;333-41-5;65863-03-8	FHIVAFMUCKRCQO-UHFFFAOYSA-N	organophosphorus pesticide	positive Regulation: diazinon --+> genotoxicity	These data suggest that ID{1213601=diazinon} may have been responsible for the ID{9000000,9000120=genotoxic effect}, in contrast to papers reviewed by Flessel et al. , which showed a positive effect of the formulation but a negative effect of authentic material. CONTEXT{10000091}	2000	Cytogenetic response without changes in peripheral cholinesterase enzymes following exposure to a sheep dip containing diazinon in vivo and in vitro	23201499	10.1016/S1383-5718(00)00131-5	genotoxicity	72057594037977102	72057594038164802	genotoxicity				
diazinon	273790		30583-38-1;27936-40-9;333-41-5;65863-03-8	FHIVAFMUCKRCQO-UHFFFAOYSA-N	organophosphorus pesticide	positive Regulation: diazinon --+> genotoxicity	We have currently studied histopathological lesions induced in ID{4000000,4003443,8803113,8803116=liver and kidneys, oxidative stress} (through the determination of ID{15001151=total antioxidant capacity} - TAC, thiobarbituric acid reactive species - ID{1427771=TBARS}, ID{847=catalase}, ID{1241189=reduced glutathione} - GSH and protein carbonyls) and ID{9000000,9000120=genotoxic effects} (both the effect on ID{3005697=telomerase activity}, as well as oxidative ID{4000000,4000888=DNA damage}) induced in ID{7000368=rabbits} by the long term exposure to ID{1213601=diazinon} and ID{1198400=propoxur}.	2012	Histopathological lesions, oxidative stress and genotoxic effects in liver and kidneys following long term exposure of rabbits to diazinon and propoxur	29940567	10.1016/j.tox.2012.11.002	genotoxicity	72057594037977102	72057594038164802	genotoxicity				
