Name	RefCount to anti-inflammatory cytokine	RefCount to oxidative stress	RefCount to inflammation	RefCount to melanogenesis	RefCount to skin barrier	RefCount to inflammatory response	RefCount to inflammatory status	RefCount to inflammatory lesion	RefCount to dermatitis	RefCount to keratitis	RefCount to oxidative stress index	RefCount to lipid peroxidation	RefCount to fatty acid oxidation	RefCount to protein amino acid oxidation	RefCount to DNA damage	RefCount to DNA fragmentation	RefCount to DNA protection	RefCount to DNA repair	RefCount to genotoxicity	RefCount to phototoxicity	RefCount to skin sensitization	RefCount to skin irritation	RefCount to ocular irritation	RefCount to embryotoxicity	RefCount to hepatotoxicity	RefCount to endocrine toxicity	RefCount to spermatogenesis	RefCount to testicular toxicity	RefCount to testicular degeneration	RefCount to testicular dysfunction	RefCount to testicular regression	RefCount to reproductive process	RefCount to reproductive developmental process	RefCount to reproductive sterility	RefCount to gonadotoxicity	RefCount to female infertility	RefCount to male infertility
seratrodast	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
organophosphorus pesticide	9	1	4	0	0	0	0	0	1	0	0	1	0	0	2	0	0	7	47	0	2	0	0	10	58	7	9	18	1	1	0	0	0	0	1	0	5
rosmarinic acid	2	64	46	5	0	19	0	0	4	0	0	33	0	1	21	4	0	1	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ACE inhibitors	19	206	334	1	1	34	1	0	1	1	1	33	0	3	4	2	0	0	0	0	0	1	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0
choline	7	0	21	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0
statin	77	488	1312	5	0	273	1	2	5	0	0	95	2	13	17	0	0	17	8	3	0	0	0	0	115	2	0	0	0	0	0	0	0	0	0	0	0
indoleamine	71	1112	399	24	3	88	0	0	9	3	0	155	0	20	97	33	0	24	26	0	0	0	0	1	26	1	1	0	1	0	11	16	16	0	0	1	3
apigenin	3	0	90	6	1	13	0	0	13	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
aminoguanidine hemisulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
angiotensin-(1-7)	0	83	54	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kolaviron	1	20	6	0	0	0	0	0	0	0	0	10	0	0	2	0	0	0	2	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0
biliverdin	12	40	46	0	0	16	0	0	0	2	0	15	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
creatine	4	76	23	1	0	6	0	0	0	0	0	19	0	1	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
fenofibrate	4	82	112	2	0	30	0	0	0	0	0	3	0	2	0	0	0	1	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
thidiazuron	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trolox	0	135	4	0	0	2	0	0	0	0	0	65	1	0	22	8	0	1	3	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
propentofylline	2	9	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
captopril	3	44	65	1	0	7	0	0	1	0	1	18	0	2	2	2	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
theophylline	0	0	53	6	0	7	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0
diethyldithiocarbamate	3	0	4	1	0	0	0	0	0	0	0	9	0	0	3	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
8-hydroxyquinoline	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
catechin	3	0	49	0	0	4	1	0	3	0	0	27	0	0	8	0	0	1	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
uridine	1	4	8	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0
folate	7	80	87	2	0	0	2	0	0	0	0	24	0	0	0	0	0	0	4	2	0	0	0	7	16	0	0	0	0	0	0	0	0	0	0	0	0
felodipine	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perfluorocarbon	0	6	25	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0
genistein	0	57	143	2	0	41	0	0	14	0	0	51	0	3	0	0	2	1	10	0	0	0	0	0	1	0	0	0	0	0	0	7	5	0	0	0	0
curcumin	23	825	664	5	2	178	0	1	19	0	5	95	0	13	1	0	0	1	19	7	0	0	0	0	51	0	2	0	0	0	0	2	2	0	0	0	0
[ 3 H ]tiagabine	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
valsartan	3	54	32	0	0	6	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
salicylic acid	0	0	60	0	1	6	0	2	3	1	0	0	0	1	0	0	0	0	4	0	0	1	0	0	5	1	0	0	1	0	0	0	0	0	0	0	0
apocynin	1	151	55	0	0	15	0	0	1	0	1	28	0	0	6	4	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ursolic acid	8	65	59	1	2	8	0	0	1	0	0	10	0	0	0	0	0	1	1	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
baicalin	11	78	140	1	0	38	0	1	4	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
NIM811	0	5	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lycopene	9	124	96	0	0	31	4	0	4	0	2	69	0	4	69	5	0	1	5	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0
3-aminobenzamide	0	11	21	0	0	4	0	0	0	0	0	3	0	1	0	6	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ginkgolide B	0	24	17	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
telmisartan	8	80	91	0	0	27	0	0	0	0	0	10	0	0	4	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
quercitrin	0	16	5	0	0	3	0	0	2	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
sinapinic acid	0	13	8	0	0	0	0	0	1	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
colchicine	4	0	633	0	0	12	2	1	11	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	5
daidzein	3	20	24	0	0	0	0	0	1	0	0	8	2	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
dimethylthiourea	1	17	7	0	0	1	0	0	0	1	0	5	0	2	7	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
resveratrol	12	1037	497	17	1	194	0	1	9	0	5	85	0	9	0	0	0	3	13	1	0	1	0	0	32	1	0	0	0	0	0	3	3	0	0	0	0
2-aminoethoxydiphenyl borate	0	4	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cromakalim	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ropivacaine	0	0	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
avarol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
epicatechin	4	63	27	1	0	3	0	0	1	0	0	22	0	0	20	4	0	1	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
